Time [s],Value,Parity Error,Framing Error
3.461339200,*,,
3.462380600,4,,
3.463421900,D,,
3.464463300,CR ,,
3.465504600,LF ,,
3.466545900,$,,
3.467587300,G,,
3.468628600,N,,
3.469670000,V,,
3.470711300,T,,
3.471752700,G,,
3.472794000,,,,
3.473835300,,,,
3.474876700,,,,
3.475918000,,,,
3.476959400,,,,
3.478000700,,,,
3.479042000,,,,
3.480083400,,,,
3.481124700,,,,
3.482166100,N,,
3.483207400,*,,
3.484248700,2,,
3.485290100,E,,
3.486331400,CR ,,
3.487372800,LF ,,
3.488414100,$,,
3.489455500,G,,
3.490496800,N,,
3.491538200,G,,
3.492579500,G,,
3.493620800,A,,
3.494662200,,,,
3.495703500,,,,
3.496744900,,,,
3.497786200,,,,
3.498827500,,,,
3.499868900,,,,
3.500910200,0,,
3.501951600,,,,
3.502992900,0,,
3.504034300,0,,
3.505075600,,,,
3.506117000,9,,
3.507158300,9,,
3.508199600,.,,
3.509241000,9,,
3.510282300,9,,
3.511323700,,,,
3.512365000,,,,
3.513406300,,,,
3.514447700,,,,
3.515489000,,,,
3.516530400,,,,
3.517571700,*,,
3.518613000,5,,
3.519654400,6,,
3.520695700,CR ,,
3.521737100,LF ,,
3.522778400,$,,
3.523819800,G,,
3.524861100,N,,
3.525902400,G,,
3.526943800,S,,
3.527985100,A,,
3.529026500,,,,
3.530067800,A,,
3.531109100,,,,
